"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Europe & Central Asia","ECS","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","5.4","5.3","5.1","5.1","5","5","4.5","4","3.8","3.8","3.8","",
"Europe & Central Asia","ECS","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","25.4720257045252","28.2856983090094","29.22462473276","28.6679216025545","28.3522621763401","25.8337730417198","26.1997074779469","27.5380207414868","28.1838054506871","28.9918779083033","29.8921063589558","31.1105496260593","31.558101522214","31.0074425386349","30.3446681627177","30.7400189761432","30.9550337297111","29.9490965295338","31.5183430246663","31.8146427994896","32.9930065673918","31.3689502202424","31.7358632579257","29.8212224004964","29.2236697098816","28.4462182309695","27.0228061950439","26.6455026175812","25.8063486464473","24.6906463768211","24.3554607520428","23.5230686413251","22.8242759933936","22.907190172825","21.8090847501391","21.9939975977156","21.4492952406495","21.2693622520158","20.8328632518216","20.1651297267254","19.8743238424559","19.9178658705308","19.7247756380235","19.6839947639295","11.0068174817509","11.185770119801","15.5258168116181",
"Europe & Central Asia","ECS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","111222372306.968","129919982696.939","160813658149.727","196315399025.676","233956443188.411","222560045080.444","214193568032.27","205479008172.292","204423726552.003","216654455525.602","265082400163.105","320029458350.967","346482123092.362","362774604387.547","458391554056.503","467149855432.053","535618843294.688","509672298698.713","541482641019.499","633754650296.593","667898472392.827","685313074226.36","730603259817.974","785681441885.575","822494027889.918","839422756817.037","912482730947.331","1080290377211.34","1314415659913.05","1450627763901.85","1625551609590.83","1940986689549.61","2181149670408.3","1907881543311.8","1979509861429.57","2246776661341.26","2253928770224.59","2436478372443.67","2598559874739.48","2414819343644.2","2446723983913.76","2685551382492.05","2987626337244.17","3046432341335.18","2674737870106.62","3248742545641.6","3599754942379.42",
"Europe & Central Asia","ECS","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","48080520000","51724480000","54065280000","58899920000","65612430000","72599720000","79887110000","84329230000","95371066000","111397163000","132153495000","150843995000","181806403000","248741713000","325441182000","353410024000","387656213000","447426769000","540474329000","676350849000","775524132000","723244541273.1","697275871087.5","681490822011.3","702592049475.8","744277057993.6","898036639453.3","1075336200113.4","1194433437937.3","1266296555634.8","1511594344370.1","1506531472187","1643729085996.96","1543273942999.35","1787989121579.35","2187692786299.07","2267849207879.5","2480906770094.2","2530847169812.9","2600272714700.6","2762999610454","2773687520416","2986767902388","3572582896291","4291358238569","4727044694780","5390931523725","6310475615085","7207316617137","5444212187065","6196548589461","7402687307619","7247687020375","7540601347714","7527847337177","6452733160860","6369425321804","7027481841494","7773316524872","7551973188502","6976333242619","","",
"Europe & Central Asia","ECS","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","6.04845787857536","5.0543185741065","4.04448104217716","3.97211065821482","3.63159846388863","3.64708018157646","3.48989968469256","3.32245414786783","3.3972462885127","3.2743832084844","3.02492870128028","3.00234358020019","3.17781602004413","3.3928836857371","4.47859423027784","6.30374140151724","5.91554042756952","5.96462188877215","5.69683338281179","4.94177423587443","5.56851711224377","7.15189448419476","6.68856693562318","6.17549584005273","5.4376834204046","4.7128704618785","3.47446756777067","2.81556761175799","2.7644547370118","2.64416242022934","2.65680006258487","2.69602671373335","2.62183104925511","2.58621275333764","2.16265097858553","2.00306193707984","1.97292925176748","1.94926562113914","1.9880789859593","1.89502069109675","1.79459383955007","1.94170779925932","1.96464853603402","1.98761064908306","2.11329374560072","2.16547345970809","1.9295995027984","2.017645952274","2.25874972461898","2.70683623640036","2.59402077537783","2.2719590090331","2.54748615685183","2.46454632561022","2.54105656071572","2.48031805887769","2.52784000785487","2.42352522356419","2.27612190851721","2.15755939580236","2.03355666786842","","",
"Europe & Central Asia","ECS","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","20.7013360088452","18.9457293722431","16.5198626549238","16.1436552036064","15.6695156695157","15.6141786772731","15.4802195247769","15.2296896343059","14.4198052688223","13.7113823984907","12.954173478348","12.8785106758807","12.0534907673191","12.0081753236137","13.991044624463","16.6963458851976","15.1752756765438","15.0759790592681","14.6417906927084","13.374205877577","14.5840654511058","16.6652023101126","15.3931917463195","13.926012398039","12.8257119664871","12.2442764570973","10.6805215623866","9.49376102263169","9.14688421809842","8.84684416767074","8.69328482337218","8.80960540315044","9.55206561354314","11.8610722787404","11.1282000704383","11.3776712278786","11.7202061281461","11.7945815395901","10.849243416752","9.75845187184609","10.0490409534433","10.4082020604723","10.6346203124804","11.0482942649079","11.6873829594158","12.1566927777218","12.6338325155054","13.3131375531618","14.2206550527697","14.8888026311294","15.8320970246493","16.2972680156612","17.5120010224218","17.5959353291796","17.1733654947339","16.5389700055219","16.3409738377027","16.8879241833899","16.6405419098935","16.5726709332142","16.4510390156212","","",
"Europe & Central Asia","ECS","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","4.61946355941341","4.1569768944706","4.46209764941272","4.70328616313701","5.22915230922158","4.8124304950307","5.0141886016914","4.79609766061378","4.62544725827594","3.74780742776889","3.5970843807005","3.85993743118291","4.40499113707853","3.35367517869725","3.4630118938952","3.45662725069342","3.26798908431834","3.61470907501348","4.13051229111541","3.33098431775493","2.96765021469833","3.33605133488751","3.58878398028393","3.08722332085353","2.68225428555697","2.80051589621433","3.12149343463682","3.32876574524503","2.84181958227489","2.61395651091099","2.84940720567634","2.72751952872818","2.74302327086459","3.08172325369483","3.22038592791665","3.42610401293478","3.53878870542279","3.17475974844632","3.12021846100631","2.93948943957363","2.74978187805925","2.64183701259696","2.94693020013372","2.96011933398529","3.72790808078913","3.7621381604676","3.34903168823651","2.82673897243152","3.5432969618151","3.72213698448807","3.47303453577479","3.11363308684966","3.05891553076459","3.00669007852993","2.87091441021057","3.16723386633802","3.17271833054426","3.17680774073813","3.69834710192526","4.10014349145625","3.60286660188876",
"Europe & Central Asia","ECS","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","6.35355136420919","4.68830524066764","4.14238447767663","3.96982834423802","3.54636832451741","3.42953842485438","3.99853795862225","3.64571821002262","3.88353587517799","4.1318000183021","3.37994100044053","3.77242524681025","5.26256299411815","5.05437343010789","5.17981502261489","5.30319010826563","5.00451201892052","6.30884321529891","7.63155073049967","8.71059717847533","8.95675029941027","8.93772171407912","9.18599499403723","8.50113178607518","4.78020759508589","4.29470488234568","3.86418577955492","4.2126189579015","4.56168333905316","4.51973288276042","4.37012489192797","4.51148468792324","4.19454203505532","3.94399380023137","6.85989923996072","6.91347431371273","5.82943168374304","6.17134601757505","7.92342463300807","7.57781816926925","7.62783296846617","7.89499215560884","8.32902857611593","9.59752731652069","10.0207154417599","9.56882765090625","11.0487716979175","9.72109187957876","10.5869722839975","11.5115995095711","12.154791596662","11.7475281442452","11.089641011794","9.35864182878515","7.68742853752089","8.42243007667274","9.20240868165824","8.74590026142083","6.8204843496555","8.36439907804568","9.41785086114123",
